Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Capital Gains
2023-06-26 00:00:00-04:00,93.87908935546875,93.87908935546875,93.87908935546875,93.87908935546875,100,0.0,0.0,0.0
2023-06-27 00:00:00-04:00,93.92599945606317,93.93538467740645,93.9194348123013,93.92131042480469,700,0.0,0.0,0.0
2023-06-28 00:00:00-04:00,93.94478209730607,93.97293060616462,93.94384429093262,93.95040893554688,20200,0.0,0.0,0.0
2023-06-29 00:00:00-04:00,93.97292541234818,93.97292541234818,93.95415496826172,93.95415496826172,100,0.0,0.0,0.0
2023-06-30 00:00:00-04:00,93.97855667918603,93.98700409530572,93.96354461850552,93.98231506347656,900,0.0,0.0,0.0
2023-07-03 00:00:00-04:00,94.01045989990234,94.01045989990234,94.01045989990234,94.01045989990234,500,0.0,0.0,0.0
2023-07-05 00:00:00-04:00,94.01983429282305,94.05736802100654,94.01983429282305,94.03860473632812,300,0.0,0.0,0.0
2023-07-06 00:00:00-04:00,94.07612349809176,94.09488677978516,94.07612349809176,94.09488677978516,1200,0.0,0.0,0.0
2023-07-07 00:00:00-04:00,94.11365722030408,94.11365722030408,94.07612349809176,94.09488677978516,3100,0.0,0.0,0.0
2023-07-10 00:00:00-04:00,94.11648681414867,94.11836242675781,94.10522597966707,94.11836242675781,1000,0.0,0.0,0.0
2023-07-11 00:00:00-04:00,94.1981219641501,94.1981219641501,94.12305450439453,94.12305450439453,2100,0.0,0.0,0.0
2023-07-12 00:00:00-04:00,94.14182890647137,94.15120697021484,94.13713271577237,94.15120697021484,3800,0.0,0.0,0.0
2023-07-13 00:00:00-04:00,94.1671639962333,94.16997741535634,94.14182890647137,94.15120697021484,2100,0.0,0.0,0.0
2023-07-14 00:00:00-04:00,94.16060638427734,94.17468064084103,94.15873077124597,94.16060638427734,1000,0.0,0.0,0.0
2023-07-17 00:00:00-04:00,94.18873596191406,94.18873596191406,94.18873596191406,94.18873596191406,0,0.0,0.0,0.0
2023-07-18 00:00:00-04:00,94.20375304723729,94.20750427246094,94.20375304723729,94.20750427246094,300,0.0,0.0,0.0
2023-07-19 00:00:00-04:00,94.23285355495332,94.23566697429486,94.21690368652344,94.21690368652344,5100,0.0,0.0,0.0
2023-07-20 00:00:00-04:00,94.24691650622408,94.26380417907558,94.24504089355469,94.24504089355469,1600,0.0,0.0,0.0
2023-07-21 00:00:00-04:00,94.26379501130023,94.27318023256139,94.25440979003906,94.25440979003906,17200,0.0,0.0,0.0
2023-07-24 00:00:00-04:00,94.28445312737534,94.28445312737534,94.28257751464844,94.28257751464844,500,0.0,0.0,0.0
2023-07-25 00:00:00-04:00,94.30791869678588,94.30791869678588,94.29196166992188,94.29196166992188,500,0.0,0.0,0.0
2023-07-26 00:00:00-04:00,94.31071974737887,94.32948303222656,94.31071974737887,94.32948303222656,900,0.0,0.0,0.0
2023-07-27 00:00:00-04:00,94.37547363159327,94.37641143798828,94.36233718323575,94.37641143798828,3800,0.0,0.0,0.0
2023-07-28 00:00:00-04:00,94.35294342041016,94.3670176738888,94.33886916693152,94.35294342041016,1900,0.0,0.0,0.0
2023-07-31 00:00:00-04:00,94.39517318649175,94.4045584091163,94.38578796386719,94.38578796386719,1300,0.0,0.0,0.0
2023-08-01 00:00:00-04:00,94.40746524043229,94.41312173130997,94.39521789550781,94.39521789550781,500,0.4,0.0,0.0
2023-08-02 00:00:00-04:00,94.42346954345703,94.43288504759968,94.41404685190663,94.42346954345703,4800,0.0,0.0,0.0
2023-08-03 00:00:00-04:00,94.47057423108113,94.47057423108113,94.4564437866211,94.4564437866211,900,0.0,0.0,0.0
